RETAILER_CONTACT_CODE,RETAILER_SITE_CODE,FIRST_NAME,LAST_NAME,JOB_POSITION_EN,EXTENSION,FAX,E_MAIL,GENDER
305,320,Adam,Balla,Chief Purchaser,,+(61) 00 7267 2210,,M
306,321,Paul,Balesrieri,Site Manager,,+(61) 02 5122 1193,PBalesrieri@bbeds.com,M
307,322,David,Giddey,Site Assistant Manager,,+(61) 02 9437 3472,DGiddey@kangakampers.com,M
308,323,Norman,Janac,Assistant Purchaser,,+(61) 03 9314 5931,NJanac@kangakampers.com,M
309,324,Gina,Murphy,Site Assistant Manager,1332.0,+(61) 02 5122 1638,GMurphy@kangakampers.com,F
310,325,Linda,Balfe,Site Manager,,+(61) 02 9437 2765,LBalfe@kangakampers.com,F
311,326,Ana María,Peña,Site Manager,,+35 93 356 3444,APeña@narancodebulnes.com,F
312,327,Antonio,Tirado,Site Manager,,+35 93 747 1534,ATirado@narancodebulnes.com,M
313,328,Carlos,Quesada,Site Manager,,+35 93 564 7157,CQuesada@avt3.net,M
314,329,Cristina,Herrera,Site Assistant Manager,,+35 94 888 5900,CHerrera@narancodebulnes.com,F
315,330,Horacio,Torres,Chief Purchaser,,+35 94 122 3344,HTorres@narancodebulnes.com,M
316,331,José,Requena,Site Manager,,+35 94 182 4715,JRequena@avt3.net,M
317,332,Lourdes,Aguirre,Site Manager,,+35 91 222 5645,LAguirre@narancodebulnes.com,F
318,333,Pedro,Turina,District Manager,,+35 91 364 7295,PTurina@avt3.net,M
319,334,Sergio,Claramunt,Assistant Purchaser,,+35 97 644 4551,SClaramunt@avt3.net,M
320,335,Clarice,Oliveira,Stock Manager,,+55 (11) 288-2345,COliveira@esportesgrumari.com,F
327,336,Svend,Larsen,Chief Purchaser,,+45 30 50 70 91,SLarsen@prebenx.com,M
328,337,Knud,Lauridsen,Site Assistant Manager,,+45 70 23 45 01,KLauridsen@grandchoixnet.com,M
329,338,Anders,Schmidt,Assistant Purchaser,,+45 76 57 89 41,ASchmidt@prebenx.com,M
330,339,Mette,Andersen,Assistant Purchaser,,+45 43 70 15 93,MAndersen@prebenx.com,F
331,340,Mikkel,Nielsen,Stock Manager,,+45 87 41 34 04,MNielsen@prebenx.com,M
332,341,Jørgen,Nygaard,Site Manager,456.0,+45 22 29 54 21,JNygaard@prebenx.com,M
333,342,Juha,Järvinen,Site Manager,,+358(0)3 - 617 143,JJ@arjanaitta.com,M
334,343,Juha,Saastamoinen,Stock Manager,,+358(0)19 - 550 4711,JSaastamoinen@arjanaitta.com,M
335,344,Jari,Sihvola,Chief Purchaser,,+358(0)2 - 481 6843,JSihvola@arjanaitta.com,M
336,345,Harri,Harkimo,District Manager,,+358(0)9 - 726 8500,HHarkimo@arjanaitta.com,M
337,346,Olga,Koriseva,Stock Manager,1445.0,+358(0)9 - 364 835,OKoriseva@arjanaitta.com,F
338,347,Min-hee,Jeon,Site Manager,,82-51-234-7853,MJeon@hansunggolf.com,F
339,348,So-man,Lee,Site Assistant Manager,,82-2-345-8385,SLee@chenyu7.com,M
340,349,Sun-kuk,Hwang,Chief Purchaser,,82-53-522-4479,SHwang@hansunggolf.com,M
341,350,Ki-jun,Kim,Stock Manager,,82-2-226-9857,KKim@hansunggolf.com,M
342,351,Moon-young,Park,Stock Manager,,82-42-412-6326,MPark@hansunggolf.com,M
343,352,Mi-na,Lee,Site Manager,,82-51-32-4567,MLee@taehosports.com,F
344,353,Jun-Yyung,Park,Assistant Purchaser,,82-2-356-7896,JPark@taehosports.com,M
345,354,Na-jung,Lee,Stock Manager,5667.0,82-2-3456-1232,NLee@taehosports.com,F
346,355,Young-chul,Ahn,Site Assistant Manager,,82-32-45-3367,YAhn@taehosports.com,M
347,356,Min-gu,Kang,Site Manager,6542.0,82-62-23-5588,MKang@taehosports.com,M
348,357,Hai-Yuan,Wang,Chief Purchaser,,886-2-2994-1219,HWang@haiwanshin.net,M
349,358,Choun-An,Kwo,Site Manager,,886-2-2269-3047,Kwo@chenyu7.com,M
350,359,Fun-Shang,Yai,Chief Purchaser,6544.0,886-2-2257-0345,FYai@haiwanshin.net,M
351,360,Yi-Chen,Ma,Assistant Purchaser,,886-2-2998-6528,Ma@chenyu7.com,F
352,361,Ching-Shin,Wang,Site Assistant Manager,,886-3-5387-2028,CWang@haiwanshin.net,M
353,362,Shih-Hsiung,Chen,Assistant Purchaser,,886-2-2298-8591,SChen@fuchinsport.com,M
354,363,Hwao-Ping,Din,Chief Purchaser,,886-2-2857-4558,Din@chenyu7.com,M
355,364,Fong-Hsiu,Yang,Site Assistant Manager,,886-3-325-6152,FYang@haiwanshin.net,M
356,365,Der-Tsai,Chang,Assistant Purchaser,,886-2-2953-0631,Chang@chenyu7.com,M
357,366,Ping-Chan,Tsai,Site Assistant Manager,,886-2-2686-6102,PTsai@haiwanshin.net,M
358,376,Tao,Yang,Site Manager,,86-10-6252-8387,tyanghssports.com,M
359,377,Ping,Wang,Chief Purchaser,,86-10-6527-8088,PWang@lankingsports.com,M
360,378,Shao,Chen,Stock Manager,,86-28-666-2222,schenhssports.com,F
361,379,Yong,Suo,Assistant Purchaser,,86-20-8331-3501,YSuo@lankingsports.com,M
362,380,Chu,Ding,Site Assistant Manager,456.0,86-20-8780-6562,CDing@hss2000.com,M
363,381,Lu,Lu,Stock Manager,123.0,86-571-525-2443,,F
364,382,Jin,Liang,Chief Purchaser,,,JLiang@hss2000.com,F
365,383,Ling,Xu,Site Assistant Manager,,86-21-6390-6658,LXu@lankingsports.com,F
366,384,Yunbo,Liu,Site Assistant Manager,,852-2802-4188,YLiu@lankingsports.com,M
367,385,Dong,Li,Site Manager,,86-371-278-3457,DLi@lankingsports.com,M
394,386,Lee,Hong,Chief Purchaser,,+(44) 171 3871873,Lee@jensenmountaineering.com,M
395,387,Karen,Posselwaite,Assistant Purchaser,,+(44) 121 3607074,KP@lltnuble.com,F
396,388,Hillary,Thomas,Chief Purchaser,,+(44) 117 9755453,HThomas@hurstironmongers.com,F
397,389,Jill,Sutherland,Site Manager,,+(44) 171 9874611,JSutherland@hurstironmongers.com,F
398,390,Amric,Said,Chief Purchaser,,+(44) 118 9426551,ASaid@outex99.com,M
399,391,Alison,Day,Site Assistant Manager,,+(44) 171 6038084,ADay@outex99.com,F
400,392,Paul,Murphy,Site Manager,,+(44) 1908 314014,Paul@jensenmountaineering.com,M
401,393,Joanne,Wallen,Chief Purchaser,,+(44) 1489 790458,JWallen@beckssportsstore.com,F
402,394,Michael,Covington,Site Assistant Manager,,+(44) 1865 891370,MCovington@brownsopticals.com,M
403,395,Colin,Barker,Site Assistant Manager,,+(44) 181 6906670,CBarker@brownsopticals.com,M
404,396,Sarah,Head,District Manager,,+(44) 1273 414377,SHead@outex99.com,F
405,397,Dan,Sabbagh,District Manager,512.0,+(44) 181 5588327,Dan@jensenmountaineering.com,M
406,398,Matthew,Newly,District Manager,,+(44) 117 9682008,Matthew@jensenmountaineering.com,M
407,399,Lisa,Kelly,Assistant Purchaser,,+(44) 1489 785695,LKelly@outex99.com,F
408,400,Adrian,Welsh,Site Manager,,+(44) 1908 569430,AWelsh@romfordtools.com,M
409,401,Ian,Stoble,Assistant Purchaser,,+(44) 1489 892410,IS@lltnuble.com,M
410,402,Claire,Robinson,District Manager,456.0,+(44) 181 9488153,Claire@jensenmountaineering.com,F
411,403,Louisa,Bryan,Site Manager,,+(44) 1273 888056,LBryan@outex99.com,F
412,404,Peter,Kirwan,Stock Manager,,+(44) 1273 501464,PKirwan@beckssportsstore.com,M
413,405,Stephen,Mathieson,Site Assistant Manager,,+(44) 171 2510627,SMathieson@beckssportsstore.com,M
414,406,Dominic,Sumners,Stock Manager,,+(44) 171 2534053,Dominic@jensenmountaineering.com,M
415,407,Douglas,Hayward,Stock Manager,,+(44) 1273 687506,DH@lltnuble.com,M
416,408,Francis,Miller,District Manager,45.0,+(44) 115 9799322,FM@lltnuble.com,F
417,409,Byron,Crofton,Chief Purchaser,,+(44) 181 3492488,BCrofton@beckssportsstore.com,M
418,410,Walter,Taylor,Stock Manager,,+(44) 118 9479954,WTaylor@hurstironmongers.com,M
420,411,Brigitte,Bageth,Site Assistant Manager,,+(41) 61 33 20 24,BB@wz10.com,F
421,412,Chantal,Boirie,Chief Purchaser,,+(41) 21 10 25 97,CBoirie@grandchoixnet.com,F
422,413,Sergio,Covatta,Stock Manager,,+(41) 92 23 88 43,SCovatta@grandchoixnet.com,M
423,414,Daniel,Daderli,Site Assistant Manager,451.0,+(41) 34 54 01 00,,M
424,415,Fritz,Görig,District Manager,,+(41) 12 52 31 55,FG@wz10.com,M
425,416,Enrico,Gregoretti,District Manager,,+(41) 91 69 61 20,EGregoretti@grandchoixnet.com,M
426,417,Marcel,Jabert,Site Assistant Manager,,+(41) 22 41 02 57,MJabert@scarabntg.com,M
427,418,Isabelle,Meric,Site Manager,,+(41) 21 14 58 09,IMeric@scarabntg.com,F
428,419,Jacques,Parenti,District Manager,,+(41) 26 71 89 30,JParenti@scarabntg.com,M
429,420,Michel,Peris,Chief Purchaser,,+(41) 22 45 10 58,MPeris@scarabntg.com,M
430,421,Werner,Richter,Stock Manager,,+(41) 13 61 40 79,WR@wz10.com,M
431,422,Wilhelmine,Strauss,Site Assistant Manager,,+(41) 12 22 55 10,WStrauss@scarabntg.com,F
432,423,Steffi,Winter,Stock Manager,5446.0,+(41) 71 25 43 15,SW@wz10.com,F
433,424,Erik,Vanlommel,Site Assistant Manager,,+32 2 722.18.10,EVanlommel@golfsus3.com,M
434,425,Jan,Aelen,Site Manager,1651.0,+32 3 778.10.52,JAelen@golfsus3.com,M
435,426,Trui,De Visscher,Stock Manager,,+32 16 24.43.23,TDeVisscher@golfsus3.com,F
436,427,Ann,D'Hondt,Site Assistant Manager,,+32 3 222.03.10,ADHondt@golfsus3.com,F
437,428,Chantal,Dechamps,Assistant Purchaser,,+32 2 743.87.11,CDechamps@allo2xl.com,F
438,429,Robert,Legrand,Site Manager,,+32 63 71.23.35,Robert.Legrand@carxtl.com,M
439,430,Albert,Meyermans,Chief Purchaser,,+32 63 23.11.15,Albert.Meyermans@carxtl.com,M
440,431,Valérie,Merckx,Stock Manager,,+32 4 254.68.69,Valerie.Merckx@carxtl.com,F
441,432,Maurice,Jacobs,Chief Purchaser,,+32 71 23.30.91,Maurice.Jacobs@carxtl.com,M
442,433,Xavier,Eysscher,Site Assistant Manager,,+32 41 20.09.23,Xavier.Eysscher@carxtl.com,M
453,434,Kurt,Nottebaum,District Manager,,+(43) 11 67 44 10,KNottebaum@ofmhently.com,M
454,435,Walter,Lautz,Stock Manager,,+(43) 22 52 20 20,WLautz@ofmhently.com,M
455,436,Günter,Wehrlin,Chief Purchaser,,+(43) 26 30 79 78,GWehrlin@ofmhently.com,M
456,437,Charlotte,Umlauf,Site Assistant Manager,,+(43) 27 54 72 10,CUmlauf@ofmhently.com,F
457,438,Siglinde,Amersberger,Stock Manager,,+(43) 31 64 74 85,SAmersberger@ofmhently.com,F
458,439,Manfred,Herwig,Chief Purchaser,,+(43) 12 72 92 56,MHerwig@ausglobetrotter.net,M
459,440,Anna-Maria,Pump,Stock Manager,,+(43) 73 57 10 40,APump@ausglobetrotter.net,F
460,441,Franziska,Resch,Site Assistant Manager,,+(43) 51 28 28 08,FResch@ausglobetrotter.net,F
461,442,Peter,Werner,Site Manager,,+(43) 54 44 78 79,PWerner@ausglobetrotter.net,M
462,443,Viola,Robeck,Site Manager,1655.0,+(43) 51 28 91 00,,F
